gene,GSM3017184,GSM3017185,GSM3017186,GSM3017187,GSM3017188,GSM3017189,GSM3017190,GSM3017191,GSM3017192,GSM3017193,GSM3017194,GSM3017195
1002,85.81175759839256,82.42041826220803,82.10743432104714,180.2627034745651,172.5078546910569,172.70364835557754,144.0111553091526,160.85202370134826,137.66419432635237,239.17463063864076,250.43878351885056,220.23424768644333
1005,137.6282001552645,126.57940945449369,127.04932470178382,99.5410494186474,107.407846162958,106.4260798327416,113.38484938798766,110.85345887921572,136.4163003561477,138.47684335576892,139.86074270856588,134.81362620819277
1008,125.87325982694855,128.22378517294194,139.50820252968532,107.25503440696647,114.21280672475574,113.87880593154004,1062.9244280984424,1219.329732992995,980.2498174123662,405.7423778080331,392.995849193193,426.8635624532602
1011,49.14328090333164,48.11539916801716,49.90367361939222,90.71946019684589,74.65342972838104,83.7023397050287,56.03213396476183,63.80498134565208,48.175909542547416,60.48510539861475,58.96636564655823,62.425447672483145
1014,74.90101595490478,81.17983671904743,76.19415769444193,120.34693063052411,115.83941914838913,109.80743303844956,75.75136281159706,80.02298321951505,67.21507908341044,136.33153455028858,149.06805812070337,127.90327533664444
1017,237.5171966143988,210.9606473449353,214.6916678576148,700.4882644457672,592.5695104587217,609.1771836560887,377.7912142885777,367.3908675773943,461.9263157705776,402.8409908007786,448.2666697020422,418.5773712273089
1020,162.70998549653697,154.34655086999777,162.84304395092005,191.47924483529775,196.8096725364552,196.53323281609588,174.39078540798013,170.72541761562522,153.91941597697615,166.03972286506283,168.9070342225884,168.43219376653548
1023,95.9111143644724,96.7275470774323,102.2924626273493,70.66741804534384,64.84453634097056,67.45640743944871,40.75567125970571,41.767672147977166,43.88650366223279,60.16255943354281,59.31026409937938,64.63760614025686
1026,77.91243069787627,77.57676210119729,80.93524988655558,124.31814424881829,131.6148064184939,128.69587124254028,120.81347562696529,113.23363197323496,117.69429510402588,111.0518269587118,109.79582793552572,109.31447523758712
1029,72.87676555253051,75.02682296066548,76.44446534070477,85.29086670927258,85.6213362987722,86.56061532094478,67.55420912181577,67.36177716798579,66.30119191556209,81.97279702445097,79.76564318202612,82.19743226568181
1032,84.212946547287,79.23978124384875,83.65980132342001,156.5949805091383,159.23221174318454,165.25749013966978,138.69137051160922,144.49611760032678,134.34276783284443,168.10638397984255,171.49992080881393,168.5515041268157
1035,100.21784879875514,104.27649797441283,106.919677218361,121.71100882848071,113.12140808987392,115.15853445924546,66.07558164000991,64.83884898968267,64.51947732732351,103.88274479043444,101.13355272827046,99.68375824751274
1038,126.3053491247832,130.99846522298196,134.4518286985693,119.9278037758871,115.61574151492108,118.4802881399804,86.02043681529514,87.00105879954292,87.98543697024742,127.34332206900758,132.6570432838765,133.72604353932323
