Gene,WT_Log,WT_DS,WT_Q,Rpd3_Log,Rpd3_DS,Rpd3_Q
CPR6,7.098,7.196,1.861,8.056,6.436,5.157
CPR7,5.856,3.142,-0.437,5.945,4.636,3.631
CPR8,6.091,5.189,0.822,5.472,5.487,3.855
CPS1,7.497,7.4,3.619,8.198,8.262,6.213
CPT1,6.526,5.829,-0.019,7.766,7.352,5.465
CRC1,1.105,8.764,2.512,4.197,11.033,5.752
CRD1,4.843,4.966,-1.878,5.478,5.536,4.613
CRF1,3.574,5.3,2.027,4.298,4.605,4.967
CRG1,6.687,5.425,2.701,7.051,6.443,4.553
CRH1,7.869,6.249,0.143,8.51,8.204,4.55
CRM1,7.082,5.864,2.924,6.81,6.048,5.568
CRN1,7.317,5.258,1.564,7.527,6.692,6.481
CRP1,6.371,4.898,4.64,6.902,5.28,6.273
CRR1,2.922,1.411,-0.51,2.113,1.69,2.774
CRS5,5.826,8.946,8.493,6.134,9.231,9.618
CRT10,4.702,4.013,0.639,4.97,4.439,3.835
CRZ1,4.884,3.908,1.012,4.771,4.291,4.1
CSE1,7.271,4.588,0.702,7.008,5.159,4.763
CSE2,4.781,4.161,0.262,4.648,4.124,4.098
CSE4,4.781,3.947,-0.389,6.026,5.355,4.615
CSF1,4.819,4.457,0.633,5.485,4.96,4.246
CSG2,7.584,7.582,4.156,7.917,7.975,6.839
CSH1,4.554,3.556,-1.664,5.192,4.586,3.674
CSI1,2.355,3.36,-1.715,2.65,3.085,2.591
CSI2,5.576,3.139,-1.176,6.067,4.604,3.158
CSL4,6.252,3.875,0.18,6.324,5.163,3.986
CSM1,4.804,3.8,-2.903,6.332,5.439,3.439
CSM2,2.873,1.643,-2.682,4.367,3.288,2.57
CSM3,3.77,2.923,0.071,4.434,3.301,2.64
CSM4,2.156,4.705,2.792,2.744,5.121,6.032
CSN9,2.718,2.6,-0.437,3.893,3.865,4.176
CSR1,6.335,4.075,0.077,6.517,5.026,3.64
CSR2,2.891,6.152,3.323,4.085,5.885,5.597
CST26,6.129,3.197,-1.39,6.044,4.322,3.431
CST6,5.218,4.937,2.502,5.119,5.011,4.619
CST9,4.104,3.809,-1.182,4.531,5.019,3.497
CTA1,4.34,7.996,6.957,4.78,7.704,7.685
CTF13,3.051,2.737,-2.432,4.055,4.659,3.079
CTF18,4.172,2.803,-2.12,5.224,4.461,3.001
CTF19,4.58,5.027,1.733,5.306,5.565,4.526
CTF3,3.992,2.834,-0.908,4.774,4.444,4.349
CTF4,4.595,3.152,-0.829,5.022,4.669,3.699
CTF8,4.658,3.983,-1.114,5.355,4.276,3.33
CTH1,5.858,5.252,-0.892,5.654,4.968,4.279
CTI6,5.813,5.703,1.877,6.482,6.718,6.136
CTK1,4.589,3.038,1.09,4.806,3.841,3.358
CTK2,4.306,3.119,-2.14,4.806,3.575,2.748
CTK3,4.791,3.556,-0.721,5.008,4.446,3.356
CTL1,4.857,4.706,1.514,4.914,5.121,4.328
CTM1,3.73,3.591,-2.87,3.288,4.199,2.671
CTP1,5.543,3.54,0.996,5.632,4.512,3.575
CTR1,6.585,5.07,-1.553,7.902,6.458,3.308
CTR2,5.878,5.511,2.05,6.21,6.776,5.005
CTR3,3.514,2.727,-2.303,2.924,2.34,1.863
CTR86,4.895,2.679,-2.057,5.094,3.907,3.056
CTR9,6.053,4.515,-0.187,6.225,5.153,4.279
CTS1,9.001,7.256,1.27,8.952,6.943,5.218
CTS2,4.547,1.177,-1.204,4.23,2.323,3.458
CTT1,3.713,7.387,4.437,3.963,4.579,3.116
CUE1,6.871,6.19,1.458,7.144,6.494,5.494
CUE2,4.348,2.969,-1.234,4.354,3.973,2.849
CUE3,3.007,2.846,-1.038,3.488,3.387,2.676
CUE4,6.009,5.339,1.364,6.182,5.013,3.912
CUE5,6.187,6.916,2.723,7.007,6.944,5.911
CUL3,4.609,3.678,-0.877,4.865,4.348,4.361
CUP1-1,11.02,11.943,5.277,,11.56,9.832
CUP1-2,11.023,11.955,5.227,7.848,11.536,9.832
CUP2,4.216,3.874,2.382,5.321,4.783,4.814
CUP9,5.627,5.44,-0.003,5.365,5.252,4.398
CUR1,5.554,4.611,-0.547,6.736,5.192,4.928
CUS1,4.023,3.307,-0.152,4.758,4.032,3.663
CUS2,5.101,4.478,1.871,5.404,4.59,4.425
CWC15,4.768,4.691,0.713,5.436,4.701,4.36
CWC2,4.289,2.351,1.16,5.091,3.427,3.798
CWC21,5.651,4.778,1.122,6.05,4.557,4.579
CWC22,4.375,2.97,-1.206,4.178,3.721,3.169
CWC23,2.786,2.84,-0.954,3.275,3.363,3.183
CWC24,4.452,3.473,1.485,5.889,4.476,3.768
CWC25,5.571,4.596,0.2,6.407,5.795,5.289
CWC27,5.053,4.253,1.637,5.74,4.366,4.12
CWH41,6.348,4.804,-1.064,6.684,5.799,3.972
CWH43,6.806,6.332,0.737,7.376,7.46,5.317
CWP1,8.869,8.27,-1.372,9.248,7.731,3.375
CWP2,12.167,11.242,2.632,12.193,11.14,8.02
CYB2,3.364,8.519,0.811,4.244,8.044,4.38
CYB5,7.739,5.008,-1.433,6.227,4.473,3.232
CYC1,8.438,9.824,-0.659,8.107,10.942,3.213
CYC2,4.509,3.955,-0.638,4.398,4.591,4.178
CYC3,5.05,5.399,1.46,5.591,6.212,5.089
CYC7,4.565,5.661,3.002,4.978,5.707,4.839
CYC8,5.53,4.087,-1.614,5.795,4.594,3.682
CYK3,6.012,3.29,-2.428,5.943,5.36,4.769
CYM1,5.502,4.163,-0.144,5.827,5.209,3.924
CYR1,4.827,5.485,2.618,5.91,5.46,4.871
CYS3,9.405,5.239,0.131,9.638,7.548,4.659
CYS4,9.593,7.069,3.472,9.506,7.705,6.435
CYT1,7.047,8.497,2.615,7.027,8.922,5.06
CYT2,5.379,5.429,0.091,6.007,6.878,4.42
DAD1,5.417,5.306,0.384,6.219,5.955,4.283
DAD2,4.635,3.378,-0.792,4.926,4.199,3.252
DAD3,4.944,3.796,1.464,5.849,4.991,3.735
DAD4,7.188,7.142,2.135,7.953,7.916,6.827
DAK1,6.593,6.177,1.537,7.125,5.923,5.013
DAK2,2.547,1.252,-2.214,3.093,3.108,3.997
DAL1,2.124,3.147,-1.414,-0.828,-0.028,1.008
DAL2,2.326,4.1,-0.148,1.33,2.698,2.206
DAL3,4.705,4.048,-2.796,4.826,5.273,2.625
DAL4,3.006,2.188,-2.503,-0.513,-0.38,0.776
DAL5,3.983,3.592,0.186,3.433,6.06,3.096
DAL7,4.896,2.837,-1.905,4.567,3.785,3.156
DAL80,2.835,2.566,1.33,0.187,-0.188,0.333
DAL81,4.483,3.145,-0.7,4.174,3.774,3.582
DAL82,4.433,4.588,0.826,5.127,5.026,4.546
DAM1,4.684,3.35,-1.429,5.0,4.268,3.71
DAN1,-0.882,-2.019,-1.295,-0.825,-0.351,1.891
DAN4,1.492,2.675,-0.617,0.171,2.116,2.507
DAP1,6.542,6.254,1.934,7.181,6.445,4.332
DAP2,6.325,6.392,3.628,6.752,6.226,4.888
DAS1,4.207,3.78,0.816,4.67,4.58,4.292
DAS2,5.252,2.379,-2.088,5.378,4.273,3.275
DAT1,5.194,3.058,1.614,5.854,4.587,4.092
DBF2,5.142,4.13,-2.003,6.111,5.461,3.961
DBF20,4.035,4.385,1.177,5.042,5.278,4.193
DBF4,4.937,2.924,-1.793,5.393,4.3,3.844
DBP1,3.018,5.161,5.575,5.577,5.507,6.64
DBP10,6.996,3.208,0.614,6.935,5.106,4.679
DBP2,9.272,2.05,1.616,8.823,5.049,7.209
DBP3,8.041,3.532,2.218,7.836,5.323,5.021
DBP5,7.193,4.498,0.683,7.058,5.203,4.476
DBP6,6.515,3.469,-0.969,6.353,5.333,5.513
