Gene,WT_Log,WT_DS,WT_Q,Rpd3_Log,Rpd3_DS,Rpd3_Q
FET4,6.619,4.857,-0.081,7.533,6.14,6.256
FET5,6.584,6.033,3.054,6.706,6.72,5.082
FHL1,4.933,3.04,1.147,5.317,4.038,3.761
FHN1,5.397,2.712,1.611,5.411,3.932,4.432
FIG1,-0.836,-4.604,-3.012,-2.147,-0.866,-3.0
FIG2,1.475,1.71,-3.795,2.352,3.053,2.123
FIG4,3.511,2.988,-0.208,3.209,2.998,2.849
FIN1,4.0,4.015,-2.08,4.767,4.648,3.733
FIP1,5.02,4.341,1.408,5.04,4.365,3.98
FIR1,3.392,2.089,-3.309,4.171,3.672,2.426
FIS1,5.25,6.523,3.278,6.448,6.64,4.573
FIT1,0.899,2.123,-2.907,-1.04,1.669,1.259
FIT2,2.714,4.759,-3.108,0.972,3.048,2.78
FIT3,4.157,5.428,0.015,4.529,6.922,5.502
FKH1,4.878,3.244,-1.558,6.179,5.176,4.226
FKH2,3.95,2.991,-0.987,5.222,4.329,3.681
FKS1,10.249,6.7,2.351,10.234,8.287,6.364
FKS3,2.546,2.181,-0.555,3.801,4.108,4.706
FLC1,7.79,5.631,0.624,7.84,6.468,6.006
FLC2,7.702,6.061,3.872,7.876,7.427,6.964
FLC3,6.204,5.113,2.056,6.547,5.801,5.068
FLD1,4.476,2.748,-2.94,4.237,3.346,2.817
FLO1,2.028,3.423,-0.296,0.983,2.374,1.421
FLO10,2.429,3.013,2.481,2.268,3.026,3.825
FLO5,3.326,3.757,1.627,3.173,3.668,3.74
FLO8,4.011,2.363,-1.001,4.966,4.148,3.199
FLO9,3.275,3.705,1.387,2.379,3.236,2.665
FLR1,3.931,3.538,0.859,5.14,4.054,3.718
FLX1,5.004,2.599,-1.639,5.377,4.615,2.348
FMC1,5.238,5.57,0.167,5.585,6.313,3.557
FMN1,4.956,4.58,1.128,5.517,5.027,3.917
FMO1,2.879,3.07,-1.012,2.824,3.198,1.86
FMP10,5.02,6.436,3.377,4.856,6.556,4.729
FMP16,3.754,9.231,6.33,4.573,5.991,6.867
FMP21,5.406,7.812,4.966,6.42,7.585,6.516
FMP23,2.593,7.097,-0.471,6.007,7.218,3.955
FMP25,4.748,4.915,0.452,5.602,5.685,4.094
FMP27,4.728,5.965,2.774,5.816,5.716,4.963
FMP30,4.501,3.482,-1.021,5.108,4.766,3.285
FMP32,4.478,4.16,-0.265,4.841,4.51,3.25
FMP33,3.518,6.289,1.076,3.731,5.452,3.333
FMP37,5.971,5.769,3.668,5.815,5.728,6.517
FMP40,3.4,6.648,5.557,5.14,6.436,5.984
FMP41,6.159,5.625,-1.547,6.412,6.041,4.869
FMP43,4.716,8.996,6.574,3.756,9.143,9.081
FMP45,2.373,8.741,5.216,3.737,5.285,4.427
FMP46,6.099,8.044,4.546,6.792,7.318,5.889
FMP48,2.539,5.541,5.342,2.187,3.046,4.522
FMP52,7.651,8.151,5.417,8.393,8.514,8.013
FMS1,4.938,4.493,2.351,4.412,3.602,5.63
FMT1,3.014,3.047,-2.041,4.819,4.851,3.209
FOB1,4.834,2.757,0.294,4.803,3.883,3.795
FOL1,6.613,3.128,-1.457,6.688,5.328,4.954
FOL2,7.433,6.641,2.732,7.77,7.287,5.433
FOL3,5.157,3.043,-0.686,4.956,3.678,3.108
FOX2,3.474,7.303,5.547,5.228,6.956,7.313
FPK1,5.552,5.504,3.811,5.891,5.732,5.473
FPR1,9.929,9.195,2.482,10.265,9.775,6.823
FPR2,7.222,5.933,3.133,7.631,6.991,7.062
FPR3,7.192,5.202,1.408,7.242,5.579,4.595
FPR4,7.754,3.979,-0.044,8.261,6.052,4.934
FPS1,6.016,4.061,1.979,6.315,4.686,4.489
FRA1,5.815,6.316,3.759,6.292,5.993,5.394
FRA2,7.749,6.295,2.118,8.114,7.336,6.304
FRE1,6.006,2.996,-0.628,6.285,3.853,3.571
FRE2,3.21,2.16,-1.424,2.748,2.248,2.551
FRE3,3.771,2.831,-1.566,2.876,3.038,3.329
FRE4,5.527,2.043,-0.408,3.4,2.844,3.203
FRE5,3.909,4.176,-0.21,3.908,4.266,3.699
FRE6,5.662,4.6,0.59,5.625,5.696,4.467
FRE7,3.44,2.56,-2.101,2.694,2.326,2.677
FRE8,4.156,3.788,1.514,5.213,4.766,3.928
FRK1,4.386,3.407,0.835,5.445,4.579,4.273
FRM2,2.895,-1.722,-3.293,1.152,0.283,-0.181
FRQ1,6.831,6.112,3.34,7.188,6.513,5.414
FRS1,8.689,4.931,-1.942,8.521,6.397,4.92
FRS2,7.986,4.573,0.495,7.975,6.045,5.408
FRT1,4.647,3.855,0.367,4.862,4.692,4.494
FRT2,2.867,2.813,0.169,3.53,3.4,3.48
FSF1,7.335,3.683,-1.037,7.488,5.004,4.308
FSH1,8.062,4.058,-0.759,7.432,5.304,4.636
FSH2,5.86,4.907,0.163,6.113,5.697,4.161
FSH3,4.887,4.18,-3.465,4.411,4.212,3.142
FTH1,6.827,6.118,3.276,6.892,6.424,5.128
FTR1,7.864,5.565,-0.891,8.133,7.226,5.323
FUI1,6.708,3.544,2.333,6.877,4.965,6.281
FUM1,7.841,10.554,2.211,8.208,10.89,6.005
FUN12,8.121,5.403,3.03,8.254,6.198,5.473
FUN14,4.804,6.321,3.791,5.124,5.273,4.63
FUN19,3.603,5.85,3.306,4.504,5.707,6.151
FUN26,6.278,5.068,-1.512,5.919,5.787,2.792
FUN30,6.244,3.179,0.59,6.519,5.32,5.022
FUR1,9.861,4.799,-0.081,9.115,6.298,4.498
FUR4,5.184,3.466,0.054,5.458,5.577,4.718
FUS1,2.349,1.742,-3.143,1.365,1.763,1.622
FUS2,1.756,0.477,-0.047,1.976,0.386,-1.089
FUS3,6.126,5.029,0.338,5.922,5.835,4.216
FYV1,0.797,-2.579,-2.784,0.689,-1.071,-0.768
FYV10,3.605,4.731,3.463,3.696,4.462,4.626
FYV12,-0.101,-3.18,-2.571,1.283,-1.261,-1.185
FYV4,5.684,5.437,0.28,5.868,6.663,4.277
FYV5,3.299,3.572,-2.359,3.193,4.278,2.109
FYV6,3.292,3.88,0.776,4.113,4.39,3.245
FYV7,6.397,2.883,0.791,6.569,5.369,4.507
FYV8,4.116,3.726,1.993,5.14,4.658,4.006
FZF1,4.656,3.996,-0.675,4.105,4.186,3.57
FZO1,4.49,4.989,2.563,4.934,5.474,4.049
GAA1,6.015,4.482,-0.272,6.069,5.62,4.327
GAB1,5.705,4.091,-0.575,5.354,4.99,2.862
GAC1,4.219,6.595,3.385,2.805,6.015,5.209
GAD1,4.601,8.9,4.947,5.695,7.739,7.473
GAL1,3.02,2.719,-0.748,3.42,3.448,3.211
GAL10,2.5,2.981,-1.107,3.027,3.198,3.169
GAL11,5.264,4.899,0.922,5.55,5.014,5.154
GAL2,1.72,0.917,-2.672,-0.582,1.335,2.963
GAL3,2.455,4.187,-1.833,2.903,5.623,2.925
GAL4,3.679,3.905,0.079,4.122,4.771,4.126
GAL7,0.783,2.142,-1.473,0.228,1.026,1.766
GAL80,6.461,5.895,2.156,6.614,6.463,5.154
GAL83,5.84,4.55,1.808,6.471,4.81,3.969
GAP1,7.995,8.606,1.834,8.405,9.463,7.216
GAR1,8.181,3.668,-0.249,8.574,5.924,4.712
GAS1,10.228,7.015,-0.534,10.107,8.759,6.136
GAS2,3.735,0.888,-1.661,4.967,2.926,1.301
GAS3,6.929,4.913,-1.493,7.672,7.363,5.598
GAS4,1.813,1.164,-1.608,0.528,0.744,1.027
GAS5,7.378,6.398,-0.747,7.86,8.11,5.809
GAT1,4.563,4.49,-0.357,4.985,5.211,3.339
GAT2,5.316,4.236,2.361,4.859,4.566,5.787
GAT3,-1.414,-1.173,-3.959,-1.881,-0.422,-1.022
GAT4,0.602,-2.06,-4.256,4.131,2.412,-0.484
GBP2,7.055,5.283,2.226,7.525,5.982,5.241
GCD1,7.399,4.425,0.872,7.189,5.686,4.741
GCD10,6.384,2.952,-1.474,6.719,5.397,4.96
GCD11,8.809,5.858,2.932,8.451,6.671,5.898
GCD14,6.352,3.736,-0.098,6.944,5.366,4.749
GCD2,6.493,4.069,0.556,7.014,5.206,4.324
GCD6,6.902,4.226,0.649,6.829,5.664,4.404
GCD7,7.092,4.781,1.35,6.879,5.599,4.436
GCN1,8.017,5.68,-0.898,7.711,6.49,4.562
GCN2,4.845,4.24,0.607,4.954,4.533,4.224
GCN20,7.57,4.467,-0.325,6.964,5.503,4.372
GCN3,6.479,3.195,0.075,6.545,4.425,3.573
GCN4,10.497,9.854,5.936,10.545,10.298,9.292
GCN5,5.067,3.771,-0.584,5.406,4.542,3.927
GCR1,5.168,3.855,-0.196,4.849,4.139,3.169
GCR2,5.25,4.353,1.786,5.532,4.689,4.388
GCS1,6.926,4.651,-0.625,7.116,5.783,4.529
GCV1,4.955,5.614,2.707,4.449,5.591,3.331
GCV2,5.069,4.612,1.161,5.272,5.139,3.743
GCV3,7.363,7.433,3.873,7.41,7.901,5.001
GCY1,4.422,7.695,0.438,5.037,7.661,5.331
GDA1,7.968,5.752,0.46,8.442,7.365,5.656
GDB1,3.783,7.278,2.128,5.096,7.337,6.386
GDE1,5.39,4.193,-0.549,5.491,4.926,4.263
GDH1,8.199,5.203,-1.16,9.206,7.062,7.13
GDH2,5.635,9.179,4.832,5.076,9.696,6.755
GDH3,4.119,8.048,6.166,4.342,7.72,7.046
GDI1,7.455,6.503,3.648,7.6,6.821,6.448
GDS1,7.017,5.399,2.46,7.406,5.504,5.201
GDT1,7.787,4.668,-0.589,8.249,6.376,4.421
GEA1,4.916,3.15,-1.133,5.31,4.477,3.311
GEA2,5.897,3.271,-1.494,6.016,4.327,4.063
GEF1,5.453,3.441,-1.195,5.419,4.075,3.268
GEM1,4.295,4.316,1.18,4.168,4.532,3.885
GEP3,4.5,3.214,-0.749,5.006,4.608,3.527
GEP4,5.917,5.241,-0.027,6.309,6.334,3.826
GEP5,4.126,3.171,0.358,4.372,4.294,3.256
GEP7,4.966,4.41,-1.204,5.244,4.905,3.774
GET1,6.476,4.976,-0.788,6.157,5.499,4.46
GET2,6.956,5.428,2.236,7.45,6.37,5.312
GET3,8.373,6.542,2.881,8.709,7.386,6.418
GET4,6.707,5.3,-0.165,7.137,6.053,4.098
GEX1,0.76,0.604,-0.67,-4.271,-1.621,-4.114
GEX2,2.604,2.49,1.551,-2.687,-1.469,-2.699
GFA1,8.413,6.236,0.658,9.001,7.512,5.889
GFD1,6.144,5.77,4.815,6.026,5.812,5.801
GFD2,5.648,2.815,-1.591,6.941,6.611,5.271
GGA1,4.292,5.571,1.568,5.47,5.306,4.989
GGA2,6.972,5.235,-1.379,7.337,6.372,4.457
GGC1,7.378,7.023,-1.582,8.172,8.659,4.027
GIC1,4.876,3.773,-1.288,5.564,4.602,3.929
GIC2,5.383,2.108,-3.517,5.011,4.328,1.363
GID7,4.089,4.412,0.495,5.081,5.008,4.114
GID8,5.201,6.033,4.478,5.391,5.526,5.614
GIM3,7.616,4.503,-1.291,7.734,5.612,4.33
GIM4,6.552,4.502,2.452,6.699,5.154,4.699
GIM5,6.264,4.124,-1.282,6.217,5.121,4.512
GIN4,5.247,3.397,-2.119,6.159,5.224,3.304
GIP1,2.605,4.437,1.645,2.947,4.024,3.642
GIP2,2.13,3.578,3.747,3.198,3.355,5.773
GIP3,5.884,4.204,1.007,6.262,4.671,4.83
GIP4,4.524,4.206,-0.249,5.017,4.912,3.553
GIR2,6.93,4.668,2.156,7.153,6.013,5.328
GIS1,5.101,5.101,2.556,4.632,4.453,4.504
GIS2,9.672,6.744,2.042,9.612,8.015,6.333
GIS3,4.857,4.276,1.332,4.914,4.831,4.248
GIS4,4.862,2.804,0.064,4.86,3.656,3.003
GIT1,5.175,6.905,2.123,4.098,7.305,4.576
GLC3,5.206,8.03,5.504,5.457,7.542,6.674
GLC7,8.187,7.344,4.379,7.784,7.191,6.726
GLC8,5.915,6.538,4.245,6.507,6.004,6.216
GLE1,5.137,4.073,-0.709,5.475,4.912,3.973
GLE2,6.225,3.83,-0.296,6.332,4.922,3.745
GLG1,4.282,5.695,1.465,3.819,5.184,4.737
GLG2,4.009,6.162,3.371,6.622,7.392,5.734
GLK1,7.702,10.741,4.933,8.291,10.076,6.545
GLN1,9.908,7.992,2.84,9.827,8.359,8.622
GLN3,4.143,3.904,0.084,4.47,4.367,3.934
GLN4,8.003,5.216,2.461,8.028,5.69,4.374
GLO1,7.485,8.707,6.448,7.187,7.014,6.719
GLO2,5.671,6.68,3.652,5.746,6.009,5.495
GLO3,7.105,5.242,1.895,7.559,6.047,5.993
GLO4,4.469,5.415,3.319,5.048,5.426,5.382
GLR1,7.156,6.439,1.188,7.329,7.082,4.809
GLT1,7.697,7.263,2.194,7.382,7.55,4.924
GLY1,9.257,7.323,0.508,9.474,8.085,6.328
GMH1,6.015,4.471,-0.611,5.265,4.813,3.609
GNA1,5.124,4.73,-0.147,6.665,5.874,4.317
GND1,9.486,4.808,-1.53,10.271,7.403,4.577
GND2,2.679,7.373,3.93,2.999,4.079,4.106
GNP1,7.116,5.683,0.724,7.637,6.657,4.53
GNT1,5.754,4.443,0.66,5.957,5.118,3.859
GON7,5.865,5.664,1.327,6.587,6.292,4.581
GOR1,3.852,6.872,-1.193,6.009,7.46,5.543
GOS1,3.795,3.51,0.099,4.38,4.148,3.099
GOT1,6.895,5.598,1.415,7.422,6.908,5.805
GPA1,6.129,4.659,-1.256,6.138,4.885,3.493
GPA2,5.6,6.222,4.415,6.005,6.025,6.327
GPB1,4.419,4.467,1.578,4.935,4.815,4.332
GPB2,5.829,5.312,2.73,5.644,5.718,5.22
GPD1,7.346,8.548,4.714,7.193,7.927,6.619
GPD2,7.902,5.377,-0.378,7.206,3.769,6.515
GPG1,3.637,8.651,5.917,5.546,7.444,6.49
GPH1,5.269,7.125,0.878,5.552,6.746,5.253
GPI1,5.123,4.085,-0.497,5.19,5.506,3.93
GPI10,5.481,4.886,1.673,5.926,5.675,4.26
GPI11,5.888,3.818,-0.085,5.818,4.553,3.644
GPI12,5.437,3.805,1.309,5.566,4.435,3.903
GPI13,5.72,4.784,0.937,6.535,5.661,4.287
GPI14,5.273,4.571,-0.773,5.115,5.106,3.716
GPI15,5.737,3.684,-1.929,5.715,4.5,3.353
GPI16,6.726,6.098,1.484,6.996,7.079,4.996
GPI17,6.283,5.023,0.695,6.007,5.65,4.075
GPI18,6.116,3.791,1.909,5.553,5.153,5.284
GPI19,4.122,2.425,0.054,4.24,4.017,2.713
GPI2,4.04,3.93,0.451,3.412,3.735,2.468
GPI8,6.396,3.956,1.157,6.233,4.798,3.854
GPM1,12.953,10.206,5.319,12.969,8.235,7.343
GPM2,1.711,5.225,-0.244,0.691,2.293,3.533
GPM3,5.317,1.735,-3.676,5.488,3.278,3.366
GPR1,4.86,4.668,1.457,5.099,4.92,4.026
GPT2,4.746,6.98,2.372,5.583,6.829,5.447
GPX1,3.528,8.217,5.339,2.624,6.91,6.268
GPX2,4.671,2.933,-0.013,4.04,2.842,3.754
GRC3,5.919,2.581,-1.48,6.491,5.106,4.221
GRE1,3.375,11.388,10.961,4.614,6.163,8.933
GRE2,6.333,6.807,1.288,7.789,6.391,3.882
GRE3,5.471,7.646,1.484,6.691,7.265,5.262
GRH1,6.896,5.509,0.742,7.309,6.451,4.926
GRR1,5.337,4.183,1.89,5.378,4.503,4.313
GRS1,9.073,5.945,-0.883,9.051,7.065,5.42
GRS2,4.181,4.118,-1.226,4.757,4.236,3.964
GRX1,7.278,9.291,4.032,8.246,8.359,7.288
GRX2,7.306,9.432,3.664,7.575,8.972,6.483
GRX3,6.81,4.963,-0.192,7.238,6.466,4.988
GRX4,6.255,6.179,2.121,6.122,6.582,4.323
GRX5,7.017,6.909,2.478,7.219,7.582,4.57
GRX6,5.157,4.721,2.95,5.956,5.668,4.834
GRX7,5.551,5.984,-1.279,6.302,6.486,4.117
GRX8,5.065,4.398,-1.144,5.361,5.451,3.68
GSC2,5.246,7.373,5.848,5.823,6.04,7.318
GSF2,8.372,6.88,4.054,8.487,7.095,7.337
GSH1,5.928,5.141,1.935,6.599,5.629,5.252
GSH2,6.457,5.163,-1.374,6.861,5.729,4.189
GSM1,2.924,5.008,3.008,4.476,5.338,5.124
GSP1,10.161,5.736,0.286,9.742,7.368,6.279
GSP2,5.02,7.554,4.099,7.657,7.68,6.687
GSY1,5.393,4.935,2.954,3.361,4.969,5.318
GSY2,5.41,7.316,-0.346,5.619,7.036,4.385
GTB1,4.898,4.664,-0.289,5.321,5.055,4.408
GTO1,3.486,3.992,2.277,4.422,3.795,3.575
GTO3,1.655,3.907,1.014,3.347,3.317,4.453
GTR1,5.243,4.519,0.944,6.397,5.399,4.798
GTR2,5.578,4.818,0.78,5.49,4.992,3.978
GTS1,5.491,5.31,2.474,6.309,5.481,4.699
GTT1,5.692,8.094,6.818,7.762,7.551,7.107
GTT2,4.078,4.986,1.588,5.447,5.13,4.828
GTT3,5.205,4.758,-0.572,6.442,5.913,4.621
GUA1,9.91,5.038,-0.262,9.701,7.726,6.084
GUD1,4.076,4.956,0.599,4.644,5.048,2.956
GUF1,3.384,3.506,-1.464,4.148,4.884,2.829
GUK1,8.591,5.789,-0.213,8.367,6.758,4.965
GUP1,5.75,5.78,-0.412,6.47,6.384,4.559
GUP2,1.627,1.365,-2.844,1.203,2.148,1.515
GUS1,9.504,6.965,0.41,9.372,7.882,5.641
GUT1,4.908,8.913,4.366,6.143,9.056,7.415
GUT2,4.871,8.98,4.938,6.008,9.126,7.736
GVP36,8.099,7.154,2.557,8.36,7.638,6.245
GWT1,5.492,4.462,0.156,5.53,5.659,5.158
GYL1,5.074,2.382,-2.278,4.952,3.792,2.326
GYP1,4.694,4.11,0.604,4.786,4.457,3.74
GYP5,4.376,4.254,-1.042,6.024,4.821,4.032
GYP6,5.629,4.808,-1.036,5.708,5.108,4.262
GYP7,5.849,5.607,5.182,5.801,5.968,6.916
GYP8,4.707,3.218,-2.129,4.282,3.317,3.186
GZF3,4.972,3.687,-0.279,5.174,4.053,4.083
HAA1,5.909,5.184,2.114,5.644,4.822,5.028
HAC1,10.689,9.554,5.312,10.505,9.665,9.116
HAL1,4.417,4.367,1.378,4.35,5.003,4.272
HAL5,6.055,4.714,2.819,6.097,4.698,4.989
HAL9,4.411,3.935,1.464,4.431,5.234,3.919
HAM1,6.837,3.258,-3.55,6.612,4.393,3.203
HAP1,5.841,4.988,2.153,5.574,5.359,4.38
HAP2,4.572,4.711,1.223,5.124,4.591,4.422
HAP3,5.367,5.318,-0.297,6.092,6.139,4.173
HAP4,7.078,7.212,1.052,6.677,8.161,4.696
HAP5,4.018,4.337,0.105,5.06,5.077,4.235
HAS1,7.598,2.331,-0.162,7.477,5.404,5.165
HAT1,5.198,2.982,-1.297,4.406,3.227,3.443
HAT2,5.595,4.225,0.129,5.656,4.561,3.518
HBN1,2.803,2.501,-4.515,4.844,4.948,1.873
HBS1,5.938,4.535,0.124,5.764,4.833,3.724
HBT1,3.287,7.262,6.95,4.227,4.837,5.576
HCA4,6.874,2.949,-0.326,6.946,5.431,4.921
HCH1,8.371,6.985,2.674,8.636,6.841,6.927
HCM1,5.637,4.169,-1.007,5.839,5.162,4.011
HCR1,8.081,5.415,2.018,8.173,6.002,4.871
HCS1,3.775,2.737,-1.838,3.954,3.863,2.871
HDA1,5.344,3.344,-2.87,5.311,4.678,3.522
HDA2,4.278,2.67,-3.278,4.216,3.375,2.763
HDA3,4.223,3.485,-0.355,4.552,4.135,3.592
HED1,-1.244,-0.342,-4.21,3.0,3.3,3.26
HEF3,2.503,5.965,5.21,3.878,4.635,7.07
HEH2,5.413,4.809,1.336,5.355,4.922,4.581
HEK2,6.849,4.987,0.442,7.538,6.371,5.136
HEM1,7.763,7.354,3.677,7.904,8.342,6.679
HEM12,6.941,5.861,-0.543,7.158,6.842,5.883
HEM13,7.837,4.954,-2.387,6.908,6.269,4.744
HEM14,3.957,3.826,-1.596,5.334,4.554,3.668
HEM15,6.767,5.912,0.563,6.716,6.465,4.982
HEM2,7.429,6.966,1.978,7.624,8.057,5.011
HEM3,6.959,5.989,2.384,6.851,6.671,4.561
HEM4,4.403,3.986,-1.48,4.71,4.553,3.194
HER1,4.564,5.893,2.4,5.721,6.172,5.35
HER2,2.402,3.04,-1.657,2.773,3.774,2.647
HES1,2.151,-0.802,-1.684,0.169,-0.675,-0.922
HFA1,3.973,3.377,-1.577,4.844,4.464,3.665
HFD1,5.778,8.179,5.996,6.524,7.476,7.11
HFI1,5.458,2.803,-0.651,5.228,3.437,3.24
HFM1,3.178,2.373,-0.751,2.397,3.366,4.173
HGH1,6.176,2.578,-3.013,5.838,3.26,3.354
HHF1,10.198,7.937,5.164,10.337,7.897,6.8
HHF2,10.442,7.365,4.825,10.523,8.684,6.62
HHO1,6.436,5.509,3.331,7.785,6.518,5.536
HHT1,10.866,8.877,5.639,10.571,8.39,7.637
HHT2,10.773,8.939,5.693,10.825,9.737,7.849
HHY1,3.522,2.576,-0.216,3.546,2.884,2.253
HIF1,5.337,4.149,-1.318,6.461,5.902,4.396
HIM1,3.04,2.74,-0.518,2.505,3.107,2.742
HIP1,7.564,5.51,-0.65,7.292,6.783,4.405
HIR1,4.727,2.768,0.375,5.184,4.303,4.003
HIR2,4.717,3.038,-1.595,4.833,3.928,3.089
HIR3,4.419,2.929,-1.891,4.889,4.08,3.102
HIS1,10.005,6.28,1.812,9.863,6.927,5.809
HIS2,5.829,4.859,-2.613,6.579,6.057,3.801
HIS3,9.084,8.577,4.764,9.691,9.835,7.308
HIS4,8.04,7.804,-0.566,8.944,8.713,5.053
HIS5,6.933,6.471,-0.294,6.787,7.013,4.501
HIS6,5.796,3.51,-1.96,6.37,4.863,3.077
HIS7,6.285,4.68,-2.356,6.759,5.977,3.303
HIT1,4.601,3.025,1.659,5.134,5.11,3.853
HKR1,5.253,4.397,0.804,4.997,4.578,3.961
HLJ1,6.496,4.957,2.862,6.351,5.073,5.54
HLR1,3.97,1.553,-0.757,3.848,2.893,2.432
HMF1,7.833,7.172,0.889,8.961,8.077,5.512
HMG1,7.77,6.851,0.815,7.481,7.0,4.774
HMG2,6.125,5.654,3.336,7.079,6.683,5.554
HMI1,2.928,1.545,-2.946,3.565,2.749,2.223
HMLALPHA1,-2.228,-1.917,-4.931,-1.265,-1.101,-1.717
HMLALPHA2,3.782,4.106,0.577,3.987,3.715,3.174
HMO1,8.227,6.137,2.357,8.196,7.086,6.327
HMRA1,6.18,7.204,3.97,6.179,6.859,5.219
HMRA2,3.98,4.346,1.005,3.974,4.116,2.926
HMS1,3.989,4.607,4.337,3.043,3.784,5.629
HMS2,6.054,5.962,2.216,6.206,6.709,4.277
HMT1,8.722,4.197,0.829,8.281,6.296,6.097
HMX1,5.65,6.861,-0.526,5.883,7.357,4.16
HNM1,7.63,5.993,-0.917,7.967,7.742,5.122
HNT1,8.547,7.581,4.628,8.785,8.24,8.168
HNT2,4.988,4.508,0.161,5.609,5.102,3.576
HNT3,4.084,3.851,1.559,3.54,3.641,3.425
HO,5.338,0.434,-2.588,6.471,3.262,2.339
HOC1,7.049,4.875,1.863,6.757,5.67,4.731
HOF1,4.298,2.706,-4.614,5.085,3.754,2.117
HOG1,7.81,5.347,-0.583,7.547,6.068,5.136
HOL1,6.491,5.402,1.037,6.468,6.239,4.351
HOM2,10.054,9.109,0.647,10.274,9.757,5.334
HOM3,7.878,7.745,-1.126,8.723,8.297,5.522
HOM6,8.979,7.332,1.727,8.987,8.149,5.403
HOP1,2.576,2.252,0.161,4.551,4.458,4.99
HOP2,-0.121,-1.189,-2.847,1.17,1.324,3.184
HOR2,5.946,4.115,-1.01,7.879,5.037,7.549
HOR7,9.734,11.917,7.752,9.977,11.128,10.286
HOS1,3.191,1.978,-3.287,3.488,2.276,2.477
HOS2,4.754,3.829,0.792,5.147,4.305,4.134
HOS3,4.796,4.215,-0.141,6.171,5.683,5.072
HOS4,4.625,4.163,1.754,5.035,4.67,4.505
HOT1,3.483,2.654,-1.138,4.032,3.482,2.906
HOT13,5.746,4.613,0.659,6.851,6.024,5.059
HPA2,2.985,5.87,1.155,3.959,5.984,3.274
HPA3,6.431,6.093,-0.761,7.2,7.586,4.679
HPC2,4.278,3.396,0.127,4.754,4.256,3.762
HPF1,6.947,6.851,6.049,6.726,6.511,6.312
HPM1,6.691,3.229,-1.7,6.478,4.558,4.215
HPR1,4.838,2.871,-2.343,4.752,3.905,3.118
HPT1,9.721,4.645,2.214,9.386,7.198,6.543
HRA1,5.993,4.014,-1.586,6.097,4.463,3.466
HRB1,6.172,5.15,1.422,6.49,5.988,5.139
HRD1,5.4,4.893,2.207,5.465,5.138,4.833
HRD3,5.128,4.485,-0.509,5.468,5.183,3.89
HRI1,7.754,4.522,-1.406,7.966,5.473,4.417
HRK1,5.518,4.741,1.502,5.194,4.933,3.865
HRP1,7.566,4.486,2.461,7.605,5.491,5.847
HRQ1,4.637,3.532,1.394,4.949,4.286,3.763
HRR25,7.061,4.767,1.839,6.813,5.496,5.064
HRT1,6.398,5.424,3.599,6.842,5.658,5.029
HRT3,4.687,5.177,1.071,4.901,5.126,3.319
HSC82,10.988,9.231,3.873,11.13,8.56,7.866
HSE1,5.529,5.32,2.003,6.296,5.552,4.982
HSF1,4.417,3.896,0.681,4.87,4.515,4.551
HSH155,4.799,3.274,-2.093,4.773,4.456,3.579
HSH49,4.832,3.87,1.782,5.234,4.609,3.73
HSK3,6.118,5.552,0.676,6.003,5.451,4.339
HSL1,5.626,3.622,-0.506,6.476,5.658,3.947
HSL7,5.706,3.817,-0.56,6.08,5.335,3.8
HSM3,4.918,4.864,2.235,5.001,4.759,4.016
HSP10,9.011,9.49,2.56,9.412,9.751,6.762
HSP104,7.668,9.898,4.741,8.521,8.733,8.153
HSP12,5.241,13.901,8.497,6.513,11.19,7.988
HSP150,10.791,10.334,2.226,10.793,11.118,8.172
HSP26,2.798,12.699,8.795,5.794,9.72,9.591
HSP30,5.835,12.291,2.87,4.914,10.915,8.162
HSP31,4.937,8.067,4.383,2.434,4.483,3.7
HSP32,-0.041,5.143,2.585,-1.191,0.339,0.781
HSP33,0.205,5.424,2.568,-0.454,0.74,0.991
HSP42,5.725,8.163,2.938,5.944,6.951,6.543
HSP60,8.005,9.11,3.285,9.476,9.307,6.501
HSP78,4.924,8.705,2.91,6.645,8.055,6.559
HSP82,7.337,9.26,4.293,8.928,8.112,8.285
HST1,5.985,4.792,3.028,5.913,4.84,5.048
HST2,6.486,6.416,2.769,7.12,6.948,5.608
HST3,4.929,3.375,-2.413,5.379,4.487,2.422
HST4,3.668,2.219,-3.075,3.252,2.43,2.698
HSV2,4.827,4.04,2.062,5.609,4.608,4.98
HTA1,10.725,8.508,6.543,10.061,8.926,8.319
HTA2,9.46,4.454,1.544,9.091,5.394,3.656
HTB1,10.225,7.932,4.957,9.784,7.649,6.48
HTB2,9.62,5.016,0.86,9.354,6.082,4.753
HTD2,4.783,4.481,-0.674,5.4,5.351,3.491
HTL1,5.905,3.963,0.761,6.071,5.177,4.399
HTS1,8.217,5.492,-1.211,8.471,6.891,5.309
HTZ1,7.064,5.854,1.836,7.267,6.493,5.638
HUA1,5.343,5.25,2.654,5.535,5.478,4.949
HUA2,3.399,3.16,-1.68,4.549,4.942,3.448
HUB1,6.161,5.653,0.834,6.343,5.712,5.01
HUG1,3.341,-0.829,,3.647,0.059,
HUL4,2.064,2.718,-1.82,3.422,3.936,3.249
HUL5,4.485,4.406,1.333,4.861,4.244,3.532
HUR1,6.088,5.134,3.415,6.005,5.28,4.439
HUT1,6.234,4.066,-1.533,6.156,4.975,4.334
HVG1,2.916,3.773,0.874,4.283,4.192,4.005
HXK1,6.54,7.675,2.643,6.286,7.343,6.931
